Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.
2024-01-07,9700,9600,9700,9475,283350000
2023-12-31,9575,9400,9600,9325,227730000
2023-12-24,9400,9375,9450,9325,222340000
2023-12-17,9325,9200,9350,9125,424760000
2023-12-10,9225,8675,9225,8675,632190000
2023-12-03,8750,8950,9025,8725,366180000
2023-11-26,8950,8900,8975,8850,445340000
2023-11-19,8925,8975,9025,8775,328690000
2023-11-12,9075,8875,9075,8850,292230000
2023-11-05,8825,8975,9050,8825,274310000
2023-10-29,8900,8700,8950,8600,300360000
2023-10-22,8700,8875,8950,8700,298000000
2023-10-15,8975,9125,9125,8725,337900000
2023-10-08,9075,9025,9125,8925,369580000
2023-10-01,9025,8900,9250,8875,431550000
2023-09-24,8825,9075,9075,8825,333560000
2023-09-17,9075,9050,9175,8975,208650000
2023-09-10,9000,9075,9125,9000,422890000
2023-09-03,9125,9225,9275,9050,274070000
2023-08-27,9225,9250,9300,9100,324340000
2023-08-20,9275,9225,9325,9150,307090000
2023-08-13,9250,9325,9375,9225,290570000
2023-08-06,9400,9150,9450,9150,340910000
2023-07-30,9150,9175,9300,9100,308530000
2023-07-23,9125,9200,9400,9100,451090000
2023-07-16,9150,9200,9250,9100,255670000
2023-07-09,9200,9100,9225,9025,255040000
2023-07-02,9025,9025,9150,9025,278710000
2023-06-25,9150,9025,9150,9025,72620000
2023-06-18,9050,9000,9150,8950,226810000
2023-06-11,9050,9150,9175,8975,327700000
2023-06-04,9100,9150,9325,9050,403050000
2023-05-28,9050,9250,9325,9050,611300000
2023-05-21,9150,9000,9200,8925,361320000
2023-05-14,9000,8875,9000,8700,284630000
2023-05-07,8800,9000,9075,8725,334070000
2023-04-30,9000,9100,9100,8875,290700000
2023-04-23,9050,9125,9200,9000,398840000
2023-04-16,9125,9025,9175,8900,175190000
2023-04-09,9000,8725,9000,8700,305160000
2023-04-02,8750,8825,8825,8650,184740000
2023-03-26,8750,8825,8900,8625,496450000
2023-03-19,8825,8400,8825,8375,283530000
2023-03-12,8375,8450,8625,8250,480970000
2023-03-05,8450,8550,8650,8350,364200000
2023-02-26,8475,8675,8775,8475,373650000
2023-02-19,8675,8725,8850,8625,230180000
2023-02-12,8725,8875,8950,8700,259930000
2023-02-05,8825,8750,8900,8650,409220000
2023-01-29,8700,8725,8775,8400,473150000
2023-01-22,8700,8300,8850,8200,356840000
2023-01-15,8300,8050,8375,8050,417280000
2023-01-08,8050,8325,8450,8000,506480000
2023-01-01,8300,8575,8600,8100,327950000
2022-12-25,8550,8500,8650,8500,189280000
2022-12-18,8500,8650,8700,8500,229150000
2022-12-11,8600,8525,8700,8400,491550000
2022-12-04,8575,8800,8900,8350,739770000
2022-11-27,8900,9050,9400,8850,817620000
2022-11-20,8975,8875,9000,8725,340510000
2022-11-13,8825,8875,8900,8550,409280000
2022-11-06,8850,8725,8925,8675,318980000
2022-10-30,8775,8850,9000,8675,412580000
2022-10-23,8750,8750,8900,8550,410130000
2022-10-16,8650,8250,8725,8175,423400000
2022-10-09,8250,8150,8375,8125,325330000
2022-10-02,8200,8450,8625,8200,415400000
2022-09-25,8550,8200,8575,8200,524120000
2022-09-18,8375,8475,8750,8375,405180000
2022-09-11,8450,8325,8875,8325,847060000
2022-09-04,8375,8225,8500,8200,455280000
2022-08-28,8225,8000,8275,7950,456840000
2022-08-21,8000,7850,8125,7825,457830000
2022-08-14,7900,7950,8050,7850,309300000
2022-08-07,7925,7875,7975,7725,415870000
2022-07-31,7875,7350,7875,7350,539250000
