Nilai;Kurs Jual;Tanggal
1;17228.3;12/29/2023
1;17108.34;12/28/2023
1;17130.87;12/27/2023
1;17093.68;12/22/2023
1;17093.95;12/21/2023
1;17034.36;12/20/2023
1;17029.75;12/19/2023
1;17137.0;12/18/2023
1;16945.34;12/15/2023
1;16941.73;12/14/2023
1;16931.33;12/13/2023
1;16881.53;12/12/2023
1;16797.22;12/11/2023
1;16829.99;12/08/2023
1;16814.02;12/07/2023
1;16843.62;12/06/2023
1;16858.23;12/05/2023
1;17001.09;12/04/2023
1;17047.54;12/01/2023
1;16985.37;11/30/2023
1;16988.36;11/29/2023
1;17087.08;11/28/2023
1;17092.01;11/27/2023
1;17104.86;11/24/2023
1;17099.68;11/23/2023
1;16997.79;11/22/2023
1;16926.38;11/21/2023
1;16881.02;11/20/2023
1;16994.21;11/17/2023
1;16942.25;11/16/2023
1;16894.55;11/15/2023
1;16889.08;11/14/2023
1;16821.85;11/13/2023
1;16839.17;11/10/2023
1;16779.95;11/09/2023
1;16766.37;11/08/2023
1;16777.95;11/07/2023
1;16851.56;11/06/2023
1;16903.1;11/03/2023
1;16932.79;11/02/2023
1;16971.83;11/01/2023
1;16876.94;10/31/2023
1;16914.66;10/30/2023
1;16893.37;10/27/2023
1;16900.99;10/26/2023
1;17007.31;10/25/2023
1;16984.08;10/24/2023
1;16846.78;10/23/2023
1;16775.13;10/20/2023
1;16726.62;10/19/2023
1;16663.82;10/18/2023
1;16641.17;10/17/2023
1;16663.76;10/16/2023
1;16763.64;10/13/2023
1;16732.71;10/12/2023
1;16687.95;10/11/2023
1;16578.86;10/10/2023
1;16576.26;10/09/2023
1;16478.63;10/06/2023
1;16479.46;10/05/2023
1;16436.82;10/04/2023
1;16494.95;10/03/2023
1;16506.08;10/02/2023
1;16488.36;9/29/2023
1;16448.93;9/27/2023
1;16463.37;9/26/2023
1;16466.36;9/25/2023
1;16493.73;9/22/2023
1;16542.16;9/21/2023
1;16532.23;9/20/2023
1;16475.73;9/19/2023
1;16470.84;9/18/2023
1;16572.79;9/15/2023
1;16594.4;9/14/2023
1;16523.3;9/13/2023
1;16551.97;09/12/2023
1;16512.36;09/11/2023
1;16512.53;09/08/2023
1;16506.53;09/07/2023
1;16498.79;09/06/2023
1;16546.03;09/05/2023
1;16638.83;09/04/2023
1;16682.18;09/01/2023
1;16627.7;8/31/2023
1;16603.28;8/30/2023
1;16615.48;8/29/2023
1;16555.71;8/28/2023
1;16646.04;8/25/2023
1;16664.19;8/24/2023
1;16830.45;8/23/2023
1;16773.67;8/22/2023
1;16732.23;8/21/2023
1;16807.61;8/18/2023
1;16844.71;8/16/2023
1;16870.27;8/15/2023
1;16820.53;8/14/2023
1;16824.83;08/11/2023
1;16788.84;08/10/2023
1;16800.46;08/09/2023
1;16768.6;08/08/2023
1;16687.43;08/07/2023
1;16682.25;08/04/2023
1;16757.81;08/03/2023
1;16676.9;08/02/2023
1;16713.02;08/01/2023
1;16606.05;7/31/2023
1;16781.83;7/28/2023
1;16728.16;7/27/2023
1;16677.71;7/26/2023
1;16735.79;7/25/2023
1;16810.58;7/24/2023
1;16887.42;7/21/2023
1;16952.59;7/20/2023
1;16961.25;7/18/2023
1;16858.14;7/17/2023
1;16794.51;7/14/2023
1;16714.78;7/13/2023
1;16776.83;07/12/2023
1;16726.05;07/11/2023
1;16539.66;07/10/2023
1;16437.6;07/07/2023
1;16420.35;07/06/2023
1;16460.52;07/05/2023
1;16434.24;07/04/2023
1;16493.56;07/03/2023
1;16458.72;6/27/2023
1;16390.37;6/26/2023
1;16488.85;6/23/2023
1;16431.61;6/22/2023
1;16542.07;6/21/2023
1;16476.41;6/20/2023
1;16434.59;6/19/2023
1;16264.19;6/16/2023
1;16152.07;6/15/2023
1;16134.74;6/14/2023
1;16103.88;6/13/2023
1;16087.11;06/12/2023
1;16049.9;06/09/2023
1;15970.42;06/08/2023
1;15975.01;06/07/2023
1;15991.86;06/06/2023
1;16098.79;06/05/2023
1;16086.38;5/31/2023
1;16147.86;5/30/2023
1;16149.31;5/29/2023
1;16114.7;5/26/2023
1;16152.42;5/25/2023
1;16154.56;5/24/2023
1;16182.68;5/23/2023
